quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88201-bb-e,Episode2,0,9,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88201-bb-j,Episode2,0,9,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88202-bb-e,Episode2,0,9,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88202-bb-j,Episode2,0,9,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88203-bb-e,Episode2,0,9,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88203-bb-j,Episode2,0,9,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88204-bb-e,Episode2,0,9,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88204-bb-j,Episode2,0,9,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88205-bb-e,Episode2,0,9,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88205-bb-j,Episode2,0,9,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q83-bb-e,Episode2,0,11,255,npc,42,0,"[-82.59817504882812, -5.0, 149.6555633544922]","[0, 49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,no DAT interaction label
events-ep2/q83-bb-j,Episode2,0,11,255,npc,42,0,"[-82.59817504882812, -5.0, 149.6555633544922]","[0, 49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,no DAT interaction label
events-ep2/q91-bb-e,Episode2,0,13,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q91-bb-j,Episode2,0,13,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q92-bb-e,Episode2,0,14,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q92-bb-j,Episode2,0,14,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 1053.0, 560.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q216-bb-e,Episode2,0,14,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 121.0, 121.0, 0, 0]",label0079,static candidate resolved; inspect caller and type-specific rules
events-ep2/q239-bb-e,Episode2,0,17,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 103.0, 2103.0, 0, 0]",label0837,static candidate resolved; inspect caller and type-specific rules
events-ep2/q239-bb-j,Episode2,0,17,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 103.0, 2103.0, 0, 0]",label0837,static candidate resolved; inspect caller and type-specific rules
events-ep2/q251-bb-e,Episode2,0,12,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 106.0, 1500.0, 0, 0]",label05DC,static candidate resolved; inspect caller and type-specific rules
events-ep2/q272-bb-e,Episode2,0,16,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 185.0, 185.0, 0, 0]",label00B9,static candidate resolved; inspect caller and type-specific rules
events-ep2/q486-bb-e,Episode2,0,9,255,npc,42,0,"[80.0, -10.0, -30.0]","[0, 61440, 0]","[0.0, 0.0, 0.0, 106.0, 1060.0, 0, 0]",label0424,target not resolved
events-ep2/q486-bb-e,Episode2,0,13,255,npc,42,0,"[-81.7919921875, -5.0, 122.66907501220703]","[0, 49664, 0]","[0.0, 0.0, 0.0, 108.0, 1080.0, 0, 0]",label0438,target not resolved
