quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
extermination-ep1/q199-bb-e,Episode1,0,2,41,npc,20,0,"[-160.0, 0.0, -115.0]","[0, 8192, 0]","[20.000009536743164, 0.0, 0.0, 104.00004577636719, 320.0001220703125, 1, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
government-ep4/q706-bb-e,Episode4,7,136,41,npc,42,0,"[111.10989379882812, 0.0, 10.8800048828125]","[0, 46080, 0]","[0.0, 100.0, 0.0, 100.0, 1100.0, 0, 0]",label044C,target not resolved
government-ep4/q706-bb-j,Episode4,7,136,41,npc,42,0,"[111.10989379882812, 0.0, 10.8800048828125]","[0, 46080, 0]","[0.0, 100.0, 0.0, 100.0, 1100.0, 0, 0]",label044C,target not resolved
government-ep4/q707-bb-e,Episode4,8,61,41,npc,42,0,"[17.00147247314453, 0.0, -26.367353439331055]","[0, 94207, 0]","[0.0, 100.0, 0.0, 100.0, 1100.0, 0, 0]",label044C,target not resolved
government-ep4/q707-bb-j,Episode4,8,61,41,npc,42,0,"[17.00147247314453, 0.0, -26.367353439331055]","[0, 94207, 0]","[0.0, 100.0, 0.0, 100.0, 1100.0, 0, 0]",label044C,target not resolved
government-ep4/q708-bb-e,Episode4,8,124,41,npc,110,0,"[-254.0987548828125, -26.622344970703125, -65.0242919921875]","[0, 81919, 0]","[0.0, 100.0, 0.0, 100.0, 1100.0, 4608, 12]",label044C,target not resolved
government-ep4/q708-bb-e,Episode4,9,1,41,npc,10,0,"[-239.25999450683594, 0.0, 27.01999855041504]","[0, 53248, 0]","[0.0, 120.0, 0.0, 120.0, 1120.0, 0, 0]",label0460,static candidate resolved; inspect caller and type-specific rules
government-ep4/q708-bb-j,Episode4,8,124,41,npc,110,0,"[-254.0987548828125, -26.622344970703125, -65.0242919921875]","[0, 81919, 0]","[0.0, 100.0, 0.0, 100.0, 1100.0, 4608, 12]",label044C,target not resolved
government-ep4/q708-bb-j,Episode4,9,1,41,npc,10,0,"[-239.25999450683594, 0.0, 27.01999855041504]","[0, 53248, 0]","[0.0, 120.0, 0.0, 120.0, 1120.0, 0, 0]",label0460,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep4/q303-bb-e,Episode4,0,11,41,npc,20,0,"[-33.448116302490234, 0.0, -24.369619369506836]","[0, 0, 0]","[0.0, 0.0, 0.0, 140.0, 1140.0, 0, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep4/q303-bb-j,Episode4,0,11,41,npc,20,0,"[-33.448116302490234, 0.0, -24.369619369506836]","[0, 0, 0]","[0.0, 0.0, 0.0, 140.0, 1140.0, 0, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep4/q304-bb-e,Episode4,0,11,41,npc,20,0,"[-33.448116302490234, 0.0, -24.369619369506836]","[0, 0, 0]","[0.0, 0.0, 0.0, 140.0, 1140.0, 0, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep4/q304-bb-j,Episode4,0,11,41,npc,20,0,"[-33.448116302490234, 0.0, -24.369619369506836]","[0, 0, 0]","[0.0, 0.0, 0.0, 140.0, 1140.0, 0, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep4/q305-bb-e,Episode4,0,11,41,npc,20,0,"[-33.448116302490234, 0.0, -24.369619369506836]","[0, 0, 0]","[0.0, 0.0, 0.0, 140.0, 1140.0, 0, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
maximum-attack-ep4/q305-bb-j,Episode4,0,11,41,npc,20,0,"[-33.448116302490234, 0.0, -24.369619369506836]","[0, 0, 0]","[0.0, 0.0, 0.0, 140.0, 1140.0, 0, 0]",label0474,static candidate resolved; inspect caller and type-specific rules
solo-extra-ep1/q030-bb-e,Episode4,0,16,41,npc,40,0,"[-58.660003662109375, 0.0, -35.17999267578125]","[0, 8192, 0]","[0.0, 159.0, 0.0, 145.0, 1145.0, 1, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
solo-extra-ep1/q030-bb-j,Episode4,0,16,41,npc,40,0,"[-58.660003662109375, 0.0, -35.17999267578125]","[0, 8192, 0]","[0.0, 159.0, 0.0, 145.0, 1145.0, 1, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
solo-extra-ep1/q033-bb-e,Episode4,0,16,41,npc,40,0,"[-51.89265441894531, 0.0, -24.410415649414062]","[0, 12288, 0]","[0.0, 0.0, 145.0, 145.0, 1145.0, 0, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
