quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88201-bb-e,Episode2,0,4,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88201-bb-j,Episode2,0,4,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88202-bb-e,Episode2,0,4,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88202-bb-j,Episode2,0,4,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88203-bb-e,Episode2,0,4,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88203-bb-j,Episode2,0,4,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88204-bb-e,Episode2,0,4,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88204-bb-j,Episode2,0,4,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88205-bb-e,Episode2,0,4,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88205-bb-j,Episode2,0,4,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep2/q91-bb-e,Episode2,0,9,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 903.0, 903.0, 1, 0]",label0387,static candidate resolved; inspect caller and type-specific rules
events-ep2/q91-bb-j,Episode2,0,9,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 903.0, 903.0, 1, 0]",label0387,static candidate resolved; inspect caller and type-specific rules
events-ep2/q92-bb-e,Episode2,0,9,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep2/q92-bb-j,Episode2,0,9,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep2/q216-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 115.0, 115.0, 1, 0]",label0073,static candidate resolved; inspect caller and type-specific rules
events-ep2/q239-bb-e,Episode2,0,13,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep2/q239-bb-j,Episode2,0,13,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep2/q243-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep2/q251-bb-e,Episode2,0,9,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep2/q252-bb-e,Episode2,0,9,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep2/q272-bb-e,Episode2,0,4,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep2/q486-bb-e,Episode2,0,16,249,npc,30,0,"[146.76849365234375, -30.0, -66.66072082519531]","[0, 59092, 0]","[0.0, 0.0, 0.0, 903.0, 903.0, 0, 0]",label0387,static candidate resolved; inspect caller and type-specific rules
events-ep2/q513-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 10.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
events-ep2/q513-bb-e,Episode2,0,20,249,npc,70,0,"[-50.0, 0.0, 0.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 250.0, 1000.0, 0, 0]",label03E8,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q96-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 124.0, 1147.0, 1, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q96-bb-j,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 124.0, 1147.0, 1, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q97-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 124.0, 1147.0, 1, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q97-bb-j,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 124.0, 1147.0, 1, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q98-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 124.0, 1147.0, 1, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q98-bb-j,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 124.0, 1147.0, 1, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q99-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 124.0, 1147.0, 1, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q99-bb-j,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 124.0, 1147.0, 1, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q100-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 124.0, 1147.0, 1, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q100-bb-j,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 124.0, 1147.0, 1, 0]",label047B,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q131-bb-e,Episode2,0,8,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q131-bb-j,Episode2,0,8,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q132-bb-e,Episode2,0,8,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q132-bb-j,Episode2,0,8,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q233-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q233-bb-j,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q234-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q234-bb-j,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q235-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q235-bb-j,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q236-bb-e,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q236-bb-j,Episode2,0,10,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
government-ep2/q451-bb-e,Episode2,0,8,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
government-ep2/q451-bb-j,Episode2,0,8,249,npc,30,0,"[140.0, -30.0, -25.0]","[0, 4096, 0]","[20.0, 0.0, 0.0, 1057.0, 640.0, 1, 0]",,free-play script target; quest linkage not inferred
