quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
Test/q37-bb-e,Episode1,0,4,11,npc,30,0,"[75.87998962402344, 2.5999999046325684, -42.68998718261719]","[0, -10752, 0]","[0.0, 0.0, 0.0, 1007.0, 0.0, 0, 0]",,no DAT interaction label
Test/q37-bb-j,Episode1,0,4,11,npc,30,0,"[75.87998962402344, 2.5999999046325684, -42.68998718261719]","[0, -10752, 0]","[0.0, 0.0, 0.0, 1007.0, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q28-bb-e,Episode1,0,13,11,npc,30,0,"[75.88380432128906, 2.5999996662139893, -42.68998718261719]","[0, -10752, 0]","[0.0, 0.0, 0.0, 1007.0, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q28-bb-j,Episode1,0,13,11,npc,30,0,"[75.88380432128906, 2.5999996662139893, -42.68998718261719]","[0, -10752, 0]","[0.0, 0.0, 0.0, 1007.0, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q070-bb-e,Episode1,0,2,11,npc,20,0,"[164.0026397705078, 0.0, 100.00032043457031]","[0, 40960, 0]","[24.000009536743164, 0.0, 0.0, 103.00003814697266, 330.0001220703125, 1, 0]",label014A,static candidate resolved; inspect caller and type-specific rules
events-ep1/q070-bb-e,Episode1,0,10,11,npc,30,0,"[75.88380432128906, 2.5999996662139893, -42.69328308105469]","[0, -10752, 0]","[0.0, 0.0, 0.0, 1007.0010986328125, 810.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q070-bb-j,Episode1,0,2,11,npc,20,0,"[164.0026397705078, 0.0, 100.00032043457031]","[0, 40960, 0]","[24.000009536743164, 0.0, 0.0, 103.00003814697266, 330.0001220703125, 1, 0]",label014A,static candidate resolved; inspect caller and type-specific rules
events-ep1/q070-bb-j,Episode1,0,10,11,npc,30,0,"[75.88380432128906, 2.5999996662139893, -42.69328308105469]","[0, -10752, 0]","[0.0, 0.0, 0.0, 1007.0010986328125, 810.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q71-bb-e,Episode1,0,15,11,npc,30,0,"[75.88380432128906, 2.5999996662139893, -42.69328308105469]","[0, -10752, 0]","[0.0, 0.0, 0.0, 1007.0010986328125, 0.0, 0, 0]",,no DAT interaction label
events-ep1/q71-bb-j,Episode1,0,15,11,npc,30,0,"[75.88380432128906, 2.5999996662139893, -42.69328308105469]","[0, -10752, 0]","[0.0, 0.0, 0.0, 1007.0010986328125, 0.0, 0, 0]",,no DAT interaction label
