quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88201-bb-e,Episode2,0,3,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88201-bb-j,Episode2,0,3,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88202-bb-e,Episode2,0,3,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88202-bb-j,Episode2,0,3,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88203-bb-e,Episode2,0,3,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88203-bb-j,Episode2,0,3,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88204-bb-e,Episode2,0,3,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88204-bb-j,Episode2,0,3,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88205-bb-e,Episode2,0,3,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88205-bb-j,Episode2,0,3,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q239-bb-e,Episode2,0,12,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q239-bb-j,Episode2,0,12,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q243-bb-e,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q251-bb-e,Episode2,0,8,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q252-bb-e,Episode2,0,8,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q272-bb-e,Episode2,0,3,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q513-bb-e,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 10.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q513-bb-e,Episode2,0,27,250,npc,80,0,"[-22.0, 0.0, 22.0]","[0, 23600, 0]","[0.0, 0.0, 0.0, 204.0, 1010.0, 0, 0]",label03F2,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q96-bb-e,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 125.0, 1148.0, 0, 0]",label047C,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q96-bb-j,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 125.0, 1148.0, 0, 0]",label047C,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q97-bb-e,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 125.0, 1148.0, 0, 0]",label047C,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q97-bb-j,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 125.0, 1148.0, 0, 0]",label047C,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q98-bb-e,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 125.0, 1148.0, 0, 0]",label047C,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q98-bb-j,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 125.0, 1148.0, 0, 0]",label047C,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q99-bb-e,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 125.0, 1148.0, 0, 0]",label047C,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q99-bb-j,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 125.0, 1148.0, 0, 0]",label047C,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q100-bb-e,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 125.0, 1148.0, 0, 0]",label047C,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q100-bb-j,Episode2,0,9,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 125.0, 1148.0, 0, 0]",label047C,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q131-bb-e,Episode2,0,7,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q131-bb-j,Episode2,0,7,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q132-bb-e,Episode2,0,7,250,npc,30,0,"[95.0, -30.0, -120.0]","[0, 8192, 0]","[0.0, 0.0, 0.0, 1056.0, 620.0, 0, 0]",,free-play script target; quest linkage not inferred
