quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
events-ep2/q83-bb-e,Episode2,0,9,252,npc,30,0,"[-135.91000366210938, 1.0, 10.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 105.0, 338.0, 0, 0]",label0152,static candidate resolved; inspect caller and type-specific rules
events-ep2/q83-bb-j,Episode2,0,9,252,npc,30,0,"[-135.91000366210938, 1.0, 10.0]","[0, 16384, 0]","[0.0, 0.0, 0.0, 105.0, 338.0, 0, 0]",label0152,static candidate resolved; inspect caller and type-specific rules
events-ep2/q91-bb-e,Episode2,0,1,252,npc,10,0,"[-45.0, 0.0, -60.0]","[0, 57344, 0]","[0.0, 0.0, 0.0, 901.0, 901.0, 0, 0]",label0385,static candidate resolved; inspect caller and type-specific rules
events-ep2/q91-bb-j,Episode2,0,1,252,npc,10,0,"[-45.0, 0.0, -60.0]","[0, 57344, 0]","[0.0, 0.0, 0.0, 901.0, 901.0, 0, 0]",label0385,static candidate resolved; inspect caller and type-specific rules
events-ep2/q243-bb-e,Episode2,0,18,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 1059.0, 680.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q251-bb-e,Episode2,0,14,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 1059.0, 680.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q252-bb-e,Episode2,0,15,252,npc,40,0,"[-6.756587505340576, 0.0, -167.5658721923828]","[0, 0, 0]","[10.0, 0.0, 0.0, 112.0, 160.0, 1, 0]",label00A0,static candidate resolved; inspect caller and type-specific rules
events-ep2/q272-bb-e,Episode2,0,9,252,npc,50,0,"[0.0, -4.041939973831177e-07, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 1059.0, 680.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q486-bb-e,Episode2,0,14,252,npc,10,0,"[-43.75861740112305, 0.0, -58.52831268310547]","[0, 60069, 0]","[0.0, 0.0, 0.0, 901.0, 901.0, 0, 0]",label0385,static candidate resolved; inspect caller and type-specific rules
events-ep2/q513-bb-e,Episode2,0,17,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 10.0, 1059.0, 680.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q513-bb-e,Episode2,0,22,252,npc,0,0,"[-25.0, 0.0, -60.0]","[0, 16384, 0]","[0.0, 0.0, 9.0, 202.0, 1080.0, 0, 0]",label0438,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q96-bb-e,Episode2,0,18,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 122.0, 1145.0, 0, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q96-bb-j,Episode2,0,18,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 122.0, 1145.0, 0, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q97-bb-e,Episode2,0,18,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 122.0, 1145.0, 0, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q97-bb-j,Episode2,0,18,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 122.0, 1145.0, 0, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q98-bb-e,Episode2,0,18,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 122.0, 1145.0, 0, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q98-bb-j,Episode2,0,18,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 122.0, 1145.0, 0, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q99-bb-e,Episode2,0,18,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 122.0, 1145.0, 0, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q99-bb-j,Episode2,0,18,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 122.0, 1145.0, 0, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q100-bb-e,Episode2,0,18,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 122.0, 1145.0, 0, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q100-bb-j,Episode2,0,18,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 122.0, 1145.0, 0, 0]",label0479,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q131-bb-e,Episode2,0,15,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 1059.0, 680.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q131-bb-j,Episode2,0,15,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 1059.0, 680.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q132-bb-e,Episode2,0,15,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 1059.0, 680.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q132-bb-j,Episode2,0,15,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 1059.0, 680.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q165-bb-e,Episode2,0,19,252,npc,20,5,"[193.87290954589844, -30.0, -161.38499450683594]","[0, 13854, 0]","[0.0, 0.0, 0.0, 155.0, 85.0, 0, 0]",label0055,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q171-bb-e,Episode2,0,8,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 1059.0, 680.0, 0, 0]",,free-play script target; quest linkage not inferred
extermination-ep2/q172-bb-e,Episode2,0,10,252,npc,50,0,"[0.0, 0.0, -15.0]","[0, 12288, 0]","[0.0, 0.0, 0.0, 1059.0, 680.0, 0, 0]",,free-play script target; quest linkage not inferred
