quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88201-bb-e,Episode2,0,0,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1068.0, 950.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88201-bb-j,Episode2,0,0,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1068.0, 950.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88202-bb-e,Episode2,0,0,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1068.0, 950.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88202-bb-j,Episode2,0,0,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1068.0, 950.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88203-bb-e,Episode2,0,0,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1068.0, 950.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88203-bb-j,Episode2,0,0,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1068.0, 950.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88204-bb-e,Episode2,0,0,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1068.0, 950.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88204-bb-j,Episode2,0,0,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1068.0, 950.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88205-bb-e,Episode2,0,0,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1068.0, 950.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88205-bb-j,Episode2,0,0,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 1068.0, 950.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q42-bb-e,Episode2,0,2,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 101.0, 101.0, 0, 0]",label0065,static candidate resolved; inspect caller and type-specific rules
events-ep2/q42-bb-j,Episode2,0,2,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 101.0, 101.0, 0, 0]",label0065,static candidate resolved; inspect caller and type-specific rules
events-ep2/q56-bb-e,Episode2,0,0,254,npc,10,0,"[-113.0, 0.0, 19.0]","[0, 20480, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,no DAT interaction label
events-ep2/q56-bb-e,Episode2,0,1,254,npc,10,0,"[-45.0, 0.0, -60.0]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1061.0, 720.0, 0, 0]",,free-play script target; quest linkage not inferred
