quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep1/c88101-bb-e,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88101-bb-j,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88102-bb-e,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88102-bb-j,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88103-bb-e,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88103-bb-j,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88104-bb-e,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88104-bb-j,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88105-bb-e,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88105-bb-j,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88106-bb-e,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88106-bb-j,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88107-bb-e,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88107-bb-j,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88108-bb-e,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88108-bb-j,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88109-bb-e,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep1/c88109-bb-j,Episode1,0,5,26,npc,20,0,"[73.07899475097656, 0.0, -1.159562110900879]","[0, 16384, 0]","[25.000009536743164, 0.0, 0.0, 1032.0010986328125, 230.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q28-bb-e,Episode1,0,4,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q28-bb-j,Episode1,0,4,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q71-bb-e,Episode1,0,6,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q71-bb-j,Episode1,0,6,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q073-bb-e,Episode1,0,4,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q073-bb-j,Episode1,0,4,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q80-bb-e,Episode1,0,6,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q80-bb-j,Episode1,0,6,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q93-bb-e,Episode1,0,7,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1020.0010986328125, 130.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q93-bb-j,Episode1,0,7,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1020.0010986328125, 130.00009155273438, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q112-bb-e,Episode1,0,6,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q112-bb-j,Episode1,0,6,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q113-bb-e,Episode1,0,2,26,npc,40,0,"[-48.04548263549805, 0.0, -40.51344299316406]","[0, 16384, 0]","[0.0, 0.0, 0.0, 101.00004577636719, 320.0001220703125, 0, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
events-ep1/q113-bb-e,Episode1,0,6,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q113-bb-j,Episode1,0,2,26,npc,40,0,"[-48.04548263549805, 0.0, -40.51344299316406]","[0, 16384, 0]","[0.0, 0.0, 0.0, 101.00004577636719, 320.0001220703125, 0, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
events-ep1/q113-bb-j,Episode1,0,6,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q220-bb-e,Episode1,0,3,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q220-bb-j,Episode1,0,3,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q399-bb-e,Episode1,0,6,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
events-ep1/q512-bb-e,Episode1,0,3,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 101.0, 340.0, 0, 0]",label0154,static candidate resolved; inspect caller and type-specific rules
events-ep1/q1001-bb-e,Episode1,0,1,26,npc,10,0,"[-2.9971923828125, 0.0, 63.999267578125]","[0, 29696, 0]","[0.0, 0.0, 0.0, 105.00004577636719, 310.0001220703125, 0, 0]",label0136,static candidate resolved; inspect caller and type-specific rules
events-ep1/q1001-bb-e,Episode1,0,2,26,npc,10,0,"[-66.72077941894531, 0.0, -66.00358581542969]","[0, 16384, 0]","[0.0, 0.0, 0.0, 101.00004577636719, 320.0001220703125, 0, 0]",label0140,static candidate resolved; inspect caller and type-specific rules
events-ep1/q1001-bb-e,Episode1,0,3,26,npc,10,0,"[-18.000213623046875, 0.0, -66.003662109375]","[0, 49152, 0]","[0.0, 0.0, 0.0, 102.00004577636719, 330.0001220703125, 0, 0]",label014A,static candidate resolved; inspect caller and type-specific rules
events-ep1/q1001-bb-e,Episode1,0,6,26,npc,20,0,"[237.9988250732422, 0.0, -14.0001220703125]","[0, 57344, 0]","[0.0, 0.0, 0.0, 1019.0010986328125, 120.00008392333984, 0, 0]",,free-play script target; quest linkage not inferred
