quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
challenge-ep2/d88201-bb-e,Episode2,0,8,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88201-bb-j,Episode2,0,8,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88202-bb-e,Episode2,0,8,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88202-bb-j,Episode2,0,8,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88203-bb-e,Episode2,0,8,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88203-bb-j,Episode2,0,8,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88204-bb-e,Episode2,0,8,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88204-bb-j,Episode2,0,8,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88205-bb-e,Episode2,0,8,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
challenge-ep2/d88205-bb-j,Episode2,0,8,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q91-bb-e,Episode2,0,12,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q91-bb-j,Episode2,0,12,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q92-bb-e,Episode2,0,13,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q92-bb-j,Episode2,0,13,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 1051.0, 520.0, 0, 0]",,free-play script target; quest linkage not inferred
events-ep2/q134-bb-e,Episode2,0,7,210,npc,42,0,"[0.0, 31.0, -215.0]","[0, 0, 0]","[0.0, 0.0, 0.0, 100.0, 1000.0, 0, 0]",label03E8,static candidate resolved; inspect caller and type-specific rules
events-ep2/q134-bb-j,Episode2,0,7,210,npc,42,0,"[0.0, 31.0, -215.0]","[0, 0, 0]","[0.0, 0.0, 0.0, 100.0, 1000.0, 0, 0]",label03E8,static candidate resolved; inspect caller and type-specific rules
events-ep2/q216-bb-e,Episode2,0,13,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 123.0, 123.0, 0, 0]",label007B,static candidate resolved; inspect caller and type-specific rules
events-ep2/q239-bb-e,Episode2,0,16,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 2101.0, 0, 0]",label0835,static candidate resolved; inspect caller and type-specific rules
events-ep2/q239-bb-j,Episode2,0,16,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 2101.0, 0, 0]",label0835,static candidate resolved; inspect caller and type-specific rules
events-ep2/q243-bb-e,Episode2,0,14,210,npc,42,0,"[-47.9794921875, 31.0, -189.93751525878906]","[0, 9472, 0]","[0.0, 0.0, 0.0, 151.0, 1151.0, 0, 0]",label047F,static candidate resolved; inspect caller and type-specific rules
events-ep2/q272-bb-e,Episode2,0,15,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 175.0, 175.0, 0, 0]",label00AF,static candidate resolved; inspect caller and type-specific rules
events-ep2/q486-bb-e,Episode2,0,8,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 1010.0, 0, 0]",label03F2,target not resolved
events-ep2/q513-bb-e,Episode2,0,13,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 10.0, 101.0, 1022.0, 0, 0]",label03FE,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q96-bb-e,Episode2,0,14,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 1134.0, 0, 0]",label046E,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q96-bb-j,Episode2,0,14,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 1134.0, 0, 0]",label046E,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q97-bb-e,Episode2,0,14,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 1134.0, 0, 0]",label046E,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q97-bb-j,Episode2,0,14,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 1134.0, 0, 0]",label046E,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q98-bb-e,Episode2,0,14,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 1134.0, 0, 0]",label046E,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q98-bb-j,Episode2,0,14,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 1134.0, 0, 0]",label046E,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q99-bb-e,Episode2,0,14,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 1134.0, 0, 0]",label046E,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q99-bb-j,Episode2,0,14,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 1134.0, 0, 0]",label046E,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q100-bb-e,Episode2,0,14,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 1134.0, 0, 0]",label046E,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q100-bb-j,Episode2,0,14,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 101.0, 1134.0, 0, 0]",label046E,static candidate resolved; inspect caller and type-specific rules
extermination-ep2/q131-bb-e,Episode2,0,11,210,npc,42,0,"[-49.0, 31.0, -191.0]","[0, 9472, 0]","[0.0, 0.0, 0.0, 151.0, 1500.0, 0, 0]",label05DC,static candidate resolved; inspect caller and type-specific rules
